Year,Type,Country,Activity,Injury,Species,Fatal (Y/N),SharkSpecie
2018.0,Boating,USA,Paddling,"No injury to occupant, outrigger canoe and paddle damaged",White shark,N,white shark
2018.0,Unprovoked,AUSTRALIA,Surfing,Minor injury to lower leg,2 m shark,N,
2018.0,Provoked,MEXICO,Free diving,Lacerations to leg & hand shark PROVOKED INCIDENT,"Tiger shark, 3m",N,tiger shark
2018.0,Unprovoked,BRAZIL,Swimming,FATAL,Tiger shark,Y,tiger shark
2018.0,Unprovoked,USA,Fishing,Minor injury to foot. PROVOKED INCIDENT,"Lemon shark, 3'",N,lemon shark
2018.0,Unprovoked,USA,Walking,Lower left leg bitten,"Bull shark, 6'",N,bull shark
2018.0,Provoked,AUSTRALIA,Feeding sharks,Minor bite to hand by captive shark. PROVOKED INCIDENT,Grey reef shark,N,
2018.0,Invalid,ENGLAND,Fishing,Injured by teeth of a dead porbeagle shark he was tossing overboard.,Invalid incident,N,
2018.0,Provoked,AUSTRALIA,Feeding sharks,Shallow lacerations to finger PROVOKED INCIDENT,"Tawny nurse shark, 2m",N,nurse shark
2018.0,Questionable,AUSTRALIA,Surfing,"No injury, surfboard damaged",Shark involvement not confirmed,N,
2018.0,Unprovoked,COSTA RICA,Scuba diving,"No injury, shark bit scuba gear",Tiger shark,N,tiger shark
2018.0,Questionable,AUSTRALIA,Surfing,No injury,Questionable,N,
2018.0,Unprovoked,AUSTRALIA,Surfing,"No injury, knocked off board by shark",3 m shark,N,
2018.0,Unprovoked,AUSTRALIA,Surfing,"No injury, shark struck his leg","White shark, 3.5 m",N,white shark
2018.0,Unprovoked,MALDIVES,Fishing,5-inch cut to hand,Tiger shark,N,tiger shark
2018.0,Unprovoked,SOUTH AFRICA,Paddle-skiing,"No injury, shark bit hole in ski","White shark, 2.5 m",N,white shark
2018.0,Unprovoked,USA,Body boarding,Lacerations to right lower leg,6' shark,N,
2018.0,Unprovoked,THAILAND,Swimming,Lacerations to foot and ankle,Juvenile bull shark,N,bull shark
2018.0,Unprovoked,BAHAMAS,Surfing,No Injury. Shark swam away with the surf board,Tiger shark,N,tiger shark
2018.0,Invalid,BRAZIL,Fishing,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,Shark involvement not confirmed,N,
2018.0,Unprovoked,NEW CALEDONIA,Windsurfing,"No injury, shark bit board",2 m shark,N,
2018.0,Unprovoked,BAHAMAS,Swimming,"2 puncture wounds to left foot, abrasion to right foot",Bull shark,N,bull shark
2018.0,Unprovoked,SOUTH AFRICA,Surfing,Lacerations to left knee & lower leg,White shark,N,white shark
2018.0,Unprovoked,USA,Stand-Up Paddleboarding,Injuries to right leg & hand,"Tiger shark, 12'",N,tiger shark
2018.0,Unprovoked,AUSTRALIA,Wading,Minor injuries to legs,Wobbegong shark,N,
2018.0,Unprovoked,AUSTRALIA,Swimming,"No injury, said to have been charged by sharks several times",3.5 m shark,N,
2018.0,Unprovoked,AUSTRALIA,Surfing,"Minor injury, ankle grazed",1.8 m shark,N,
2018.0,Unprovoked,SOUTH AFRICA,Scuba Diving, The shark & man simply collided; neither were injured,Blacktip shark,N,blacktip shark
2018.0,Unprovoked,AUSTRALIA,Swimming,Laceratons to right leg & foot,"Juvenile white shark,  2.7 to 3.2 m",N,white shark
